0x712aba4510	glWaitSyncAPPLE
0x712aba4518	glGetTexParameterPointervAPPLE
0x712aba4520	glTextureRangeAPPLE
0x712aba4528	glBindVertexArrayAPPLE
0x712aba4530	glDeleteVertexArraysAPPLE
0x712aba4538	glGenVertexArraysAPPLE
0x712aba4540	glIsVertexArrayAPPLE
0x712aba4548	glFlushVertexArrayRangeAPPLE
0x712aba4550	glVertexArrayParameteriAPPLE
0x712aba4558	glVertexArrayRangeAPPLE
0x712aba4560	glDisableVertexAttribAPPLE
0x712aba4568	glEnableVertexAttribAPPLE
0x712aba4570	glIsVertexAttribEnabledAPPLE
0x712aba4578	glMapVertexAttrib1dAPPLE
0x712aba4580	glMapVertexAttrib1fAPPLE
0x712aba4588	glMapVertexAttrib2dAPPLE
0x712aba4590	glMapVertexAttrib2fAPPLE
0x712aba4598	glClearDepthf
0x712aba45a0	glDepthRangef
0x712aba45a8	glGetShaderPrecisionFormat
0x712aba45b0	glReleaseShaderCompiler
0x712aba45b8	glShaderBinary
0x712aba45c0	glMemoryBarrierByRegion
0x712aba45c8	glPrimitiveBoundingBoxARB
0x712aba45d0	glDrawArraysInstancedBaseInstance
0x712aba45d8	glDrawElementsInstancedBaseInstance
0x712aba45e0	glDrawElementsInstancedBaseVertexBaseInstance
0x712aba45e8	glGetImageHandleARB
0x712aba45f0	glGetTextureHandleARB
0x712aba45f8	glGetTextureSamplerHandleARB
0x712aba4600	glGetVertexAttribLui64vARB
0x712aba4608	glIsImageHandleResidentARB
0x712aba4610	glIsTextureHandleResidentARB
0x712aba4618	glMakeImageHandleNonResidentARB
0x712aba4620	glMakeImageHandleResidentARB
0x712aba4628	glMakeTextureHandleNonResidentARB
0x712aba4630	glMakeTextureHandleResidentARB
0x712aba4638	glProgramUniformHandleui64ARB
0x712aba4640	glProgramUniformHandleui64vARB
0x712aba4648	glUniformHandleui64ARB
0x712aba4650	glUniformHandleui64vARB
0x712aba4658	glVertexAttribL1ui64ARB
0x712aba4660	glVertexAttribL1ui64vARB
0x712aba4668	glBindFragDataLocationIndexed
0x712aba4670	glGetFragDataIndex
0x712aba4678	glBufferStorage
0x712aba4680	glCreateSyncFromCLeventARB
0x712aba4688	glClearBufferData
0x712aba4690	glClearBufferSubData
0x712aba4698	glClearNamedBufferDataEXT
0x712aba46a0	glClearNamedBufferSubDataEXT
0x712aba46a8	glClearTexImage
0x712aba46b0	glClearTexSubImage
0x712aba46b8	glClipControl
0x712aba46c0	glClampColorARB
0x712aba46c8	glDispatchCompute
0x712aba46d0	glDispatchComputeIndirect
0x712aba46d8	glDispatchComputeGroupSizeARB
0x712aba46e0	glCopyBufferSubData
0x712aba46e8	glCopyImageSubData
0x712aba46f0	glDebugMessageCallbackARB
0x712aba46f8	glDebugMessageControlARB
0x712aba4700	glDebugMessageInsertARB
0x712aba4708	glGetDebugMessageLogARB
0x712aba4710	glBindTextureUnit
0x712aba4718	glBlitNamedFramebuffer
0x712aba4720	glCheckNamedFramebufferStatus
0x712aba4728	glClearNamedBufferData
0x712aba4730	glClearNamedBufferSubData
0x712aba4738	glClearNamedFramebufferfi
0x712aba4740	glClearNamedFramebufferfv
0x712aba4748	glClearNamedFramebufferiv
0x712aba4750	glClearNamedFramebufferuiv
0x712aba4758	glCompressedTextureSubImage1D
0x712aba4760	glCompressedTextureSubImage2D
0x712aba4768	glCompressedTextureSubImage3D
0x712aba4770	glCopyNamedBufferSubData
0x712aba4778	glCopyTextureSubImage1D
0x712aba4780	glCopyTextureSubImage2D
0x712aba4788	glCopyTextureSubImage3D
0x712aba4790	glCreateBuffers
0x712aba4798	glCreateFramebuffers
0x712aba47a0	glCreateProgramPipelines
0x712aba47a8	glCreateQueries
0x712aba47b0	glCreateRenderbuffers
0x712aba47b8	glCreateSamplers
0x712aba47c0	glCreateTextures
0x712aba47c8	glCreateTransformFeedbacks
0x712aba47d0	glCreateVertexArrays
0x712aba47d8	glDisableVertexArrayAttrib
0x712aba47e0	glEnableVertexArrayAttrib
0x712aba47e8	glFlushMappedNamedBufferRange
0x712aba47f0	glGenerateTextureMipmap
0x712aba47f8	glGetCompressedTextureImage
0x712aba4800	glGetNamedBufferParameteri64v
0x712aba4808	glGetNamedBufferParameteriv
0x712aba4810	glGetNamedBufferPointerv
0x712aba4818	glGetNamedBufferSubData
0x712aba4820	glGetNamedFramebufferAttachmentParameteriv
0x712aba4828	glGetNamedFramebufferParameteriv
0x712aba4830	glGetNamedRenderbufferParameteriv
0x712aba4838	glGetQueryBufferObjecti64v
0x712aba4840	glGetQueryBufferObjectiv
0x712aba4848	glGetQueryBufferObjectui64v
0x712aba4850	glGetQueryBufferObjectuiv
0x712aba4858	glGetTextureImage
0x712aba4860	glGetTextureLevelParameterfv
0x712aba4868	glGetTextureLevelParameteriv
0x712aba4870	glGetTextureParameterIiv
0x712aba4878	glGetTextureParameterIuiv
0x712aba4880	glGetTextureParameterfv
0x712aba4888	glGetTextureParameteriv
0x712aba4890	glGetTransformFeedbacki64_v
0x712aba4898	glGetTransformFeedbacki_v
0x712aba48a0	glGetTransformFeedbackiv
0x712aba48a8	glGetVertexArrayIndexed64iv
0x712aba48b0	glGetVertexArrayIndexediv
0x712aba48b8	glGetVertexArrayiv
0x712aba48c0	glInvalidateNamedFramebufferData
0x712aba48c8	glInvalidateNamedFramebufferSubData
0x712aba48d0	glMapNamedBuffer
0x712aba48d8	glMapNamedBufferRange
0x712aba48e0	glNamedBufferData
0x712aba48e8	glNamedBufferStorage
0x712aba48f0	glNamedBufferSubData
0x712aba48f8	glNamedFramebufferDrawBuffer
0x712aba4900	glNamedFramebufferDrawBuffers
0x712aba4908	glNamedFramebufferParameteri
0x712aba4910	glNamedFramebufferReadBuffer
0x712aba4918	glNamedFramebufferRenderbuffer
0x712aba4920	glNamedFramebufferTexture
