rom	status	frames	secs	detail
mooneye/acceptance/halt_ime0_nointr_timing.gb	HANG	0	0.4	LCD off: PC=0155
mooneye/acceptance/halt_ime1_timing.gb	PASS	2	0.1	B=03 C=05 D=08 E=0d H=15 L=22
mooneye/acceptance/halt_ime1_timing2-GS.gb	HANG	0	0.4	LCD off: PC=0155
mooneye/acceptance/if_ie_registers.gb	FAIL	2	0.1	B=42 C=42 D=42 E=42 H=42 L=42
mooneye/acceptance/instr/daa.gb	PASS	2	0.2	B=03 C=05 D=08 E=0d H=15 L=22
mooneye/acceptance/interrupts/ie_push.gb	FAIL	2	0.1	B=42 C=42 D=42 E=42 H=42 L=42
mooneye/acceptance/intr_timing.gb	FAIL	2	0.1	B=42 C=42 D=42 E=42 H=42 L=42
mooneye/acceptance/jp_cc_timing.gb	HANG	0	0.4	LCD off: PC=0155
mooneye/acceptance/jp_timing.gb	HANG	0	0.4	LCD off: PC=0155
mooneye/acceptance/ld_hl_sp_e_timing.gb	HANG	0	0.4	LCD off: PC=0155
mooneye/acceptance/oam_dma/basic.gb	PASS	2	0.2	B=03 C=05 D=08 E=0d H=15 L=22
mooneye/acceptance/oam_dma/reg_read.gb	FAIL	2	0.2	B=42 C=42 D=42 E=42 H=42 L=42
mooneye/acceptance/oam_dma/sources-GS.gb	FAIL	2	0.2	B=42 C=42 D=42 E=42 H=42 L=42
mooneye/acceptance/oam_dma_restart.gb	HANG	0	0.4	LCD off: PC=0155
mooneye/acceptance/oam_dma_start.gb	FAIL	4	0.1	B=42 C=42 D=42 E=42 H=42 L=42
mooneye/acceptance/oam_dma_timing.gb	HANG	0	0.4	LCD off: PC=0155
mooneye/acceptance/pop_timing.gb	FAIL	2	0.1	B=42 C=42 D=42 E=42 H=42 L=42
mooneye/acceptance/ppu/hblank_ly_scx_timing-GS.gb	HANG	0	0.4	LCD off: PC=0157
mooneye/acceptance/ppu/intr_1_2_timing-GS.gb	HANG	0	0.4	LCD off: PC=0157
mooneye/acceptance/ppu/intr_2_0_timing.gb	HANG	0	0.4	LCD off: PC=0157
mooneye/acceptance/ppu/intr_2_mode0_timing.gb	HANG	0	0.4	LCD off: PC=0157
mooneye/acceptance/ppu/intr_2_mode0_timing_sprites.gb	FAIL	5	0.1	B=42 C=42 D=42 E=42 H=42 L=42
mooneye/acceptance/ppu/intr_2_mode3_timing.gb	HANG	0	0.4	LCD off: PC=0157
mooneye/acceptance/ppu/intr_2_oam_ok_timing.gb	HANG	0	0.4	LCD off: PC=0157
mooneye/acceptance/ppu/lcdon_timing-GS.gb	FAIL	5	0.1	B=42 C=42 D=42 E=42 H=42 L=42
mooneye/acceptance/ppu/lcdon_write_timing-GS.gb	FAIL	21	0.1	B=42 C=42 D=42 E=42 H=42 L=42
mooneye/acceptance/ppu/stat_irq_blocking.gb	HANG	0	0.4	LCD off: PC=0158
mooneye/acceptance/ppu/stat_lyc_onoff.gb	HANG	0	0.4	LCD off: PC=015e
mooneye/acceptance/ppu/vblank_stat_intr-GS.gb	HANG	0	0.3	LCD off: PC=0168
mooneye/acceptance/push_timing.gb	HANG	0	0.4	LCD off: PC=0155
mooneye/acceptance/rapid_di_ei.gb	PASS	2	0.1	B=03 C=05 D=08 E=0d H=15 L=22
mooneye/acceptance/ret_cc_timing.gb	HANG	0	0.4	LCD off: PC=015e
mooneye/acceptance/ret_timing.gb	HANG	0	0.4	LCD off: PC=015e
mooneye/acceptance/reti_intr_timing.gb	PASS	2	0.1	B=03 C=05 D=08 E=0d H=15 L=22
mooneye/acceptance/reti_timing.gb	HANG	0	0.4	LCD off: PC=015e
mooneye/acceptance/rst_timing.gb	HANG	0	0.4	LCD off: PC=0155
mooneye/acceptance/serial/boot_sclk_align-dmgABCmgb.gb	FAIL	2	0.1	B=42 C=42 D=42 E=42 H=42 L=42
mooneye/acceptance/timer/div_write.gb	FAIL	2	0.1	B=42 C=42 D=42 E=42 H=42 L=42
mooneye/acceptance/timer/rapid_toggle.gb	FAIL	2	0.1	B=42 C=42 D=42 E=42 H=42 L=42
mooneye/acceptance/timer/tim00.gb	FAIL	2	0.1	B=42 C=42 D=42 E=42 H=42 L=42
mooneye/acceptance/timer/tim00_div_trigger.gb	PASS	2	0.1	B=03 C=05 D=08 E=0d H=15 L=22
mooneye/acceptance/timer/tim01.gb	PASS	2	0.1	B=03 C=05 D=08 E=0d H=15 L=22
mooneye/acceptance/timer/tim01_div_trigger.gb	FAIL	2	0.1	B=42 C=42 D=42 E=42 H=42 L=42
mooneye/acceptance/timer/tim10.gb	FAIL	2	0.1	B=42 C=42 D=42 E=42 H=42 L=42
mooneye/acceptance/timer/tim10_div_trigger.gb	FAIL	2	0.1	B=42 C=42 D=42 E=42 H=42 L=42
mooneye/acceptance/timer/tim11.gb	FAIL	2	0.1	B=42 C=42 D=42 E=42 H=42 L=42
mooneye/acceptance/timer/tim11_div_trigger.gb	PASS	2	0.1	B=03 C=05 D=08 E=0d H=15 L=22
mooneye/acceptance/timer/tima_reload.gb	FAIL	2	0.1	B=42 C=42 D=42 E=42 H=42 L=42
mooneye/acceptance/timer/tima_write_reloading.gb	FAIL	2	0.1	B=42 C=42 D=42 E=42 H=42 L=42
mooneye/acceptance/timer/tma_write_reloading.gb	FAIL	2	0.1	B=42 C=42 D=42 E=42 H=42 L=42
mooneye/emulator-only/mbc1/bits_bank1.gb	PASS	2	0.2	B=03 C=05 D=08 E=0d H=15 L=22
mooneye/emulator-only/mbc1/bits_bank2.gb	PASS	2	0.2	B=03 C=05 D=08 E=0d H=15 L=22
mooneye/emulator-only/mbc1/bits_mode.gb	PASS	2	0.2	B=03 C=05 D=08 E=0d H=15 L=22
mooneye/emulator-only/mbc1/bits_ramg.gb	FAIL	2	0.1	B=42 C=42 D=42 E=42 H=42 L=42
mooneye/emulator-only/mbc1/multicart_rom_8Mb.gb	FAIL	2	0.1	B=42 C=42 D=42 E=42 H=42 L=42
mooneye/emulator-only/mbc1/ram_256kb.gb	FAIL	2	0.2	B=42 C=42 D=42 E=42 H=42 L=42
