169 ROMs, 12 workers
[139/169] CRASH   mooneye/emulator-only/mbc2/ram.gb  (0 fr, 0.0s) cart type 0x06: Carbon has no mapper for this (cart_load would return NULL and crash)
[140/169] PASS    mooneye/emulator-only/mbc1/rom_4Mb.gb  (2 fr, 0.9s) B=03 C=05 D=08 E=0d H=15 L=22
[141/169] CRASH   mooneye/emulator-only/mbc2/rom_1Mb.gb  (0 fr, 0.0s) cart type 0x05: Carbon has no mapper for this (cart_load would return NULL and crash)
[142/169] PASS    mooneye/emulator-only/mbc1/rom_512kb.gb  (2 fr, 0.9s) B=03 C=05 D=08 E=0d H=15 L=22
[143/169] CRASH   mooneye/emulator-only/mbc2/rom_2Mb.gb  (0 fr, 0.0s) cart type 0x05: Carbon has no mapper for this (cart_load would return NULL and crash)
[144/169] CRASH   mooneye/emulator-only/mbc2/rom_512kb.gb  (0 fr, 0.0s) cart type 0x05: Carbon has no mapper for this (cart_load would return NULL and crash)
[145/169] FAIL    mooneye/emulator-only/mbc1/rom_8Mb.gb  (2 fr, 0.8s) B=42 C=42 D=42 E=42 H=42 L=42
[146/169] HANG    mooneye/acceptance/push_timing.gb  (0 fr, 20.1s) LCD off: call to 0x71000820b0 did not return within 20s (pc=0x71000873b8) PC=0155
[147/169] FAIL    mooneye/emulator-only/mbc5/rom_1Mb.gb  (2 fr, 0.8s) B=42 C=42 D=42 E=42 H=42 L=42
[148/169] FAIL    mooneye/emulator-only/mbc5/rom_16Mb.gb  (2 fr, 0.8s) B=42 C=42 D=42 E=42 H=42 L=42
[149/169] FAIL    mooneye/emulator-only/mbc5/rom_2Mb.gb  (2 fr, 0.8s) B=42 C=42 D=42 E=42 H=42 L=42
[150/169] PASS    mooneye/emulator-only/mbc5/rom_32Mb.gb  (2 fr, 0.9s) B=03 C=05 D=08 E=0d H=15 L=22
[151/169] FAIL    mooneye/emulator-only/mbc5/rom_4Mb.gb  (2 fr, 0.8s) B=42 C=42 D=42 E=42 H=42 L=42
[152/169] HANG    mooneye/acceptance/ret_cc_timing.gb  (0 fr, 20.1s) LCD off: call to 0x71000820b0 did not return within 20s (pc=0x7100083680) PC=015e
[153/169] FAIL    mooneye/emulator-only/mbc5/rom_512kb.gb  (2 fr, 0.8s) B=42 C=42 D=42 E=42 H=42 L=42
[154/169] FAIL    mooneye/emulator-only/mbc5/rom_8Mb.gb  (2 fr, 0.8s) B=42 C=42 D=42 E=42 H=42 L=42
[155/169] HANG    mooneye/acceptance/ret_timing.gb  (0 fr, 20.1s) LCD off: call to 0x71000820b0 did not return within 20s (pc=0x710008518c) PC=015c
[156/169] PASS    mooneye/emulator-only/mbc5/rom_64Mb.gb  (2 fr, 0.9s) B=03 C=05 D=08 E=0d H=15 L=22
[157/169] FAIL    mooneye/misc/bits/unused_hwio-C.gb  (2 fr, 0.7s) B=42 C=42 D=42 E=42 H=42 L=42
[158/169] FAIL    mooneye/misc/boot_div-A.gb  (2 fr, 0.8s) B=42 C=42 D=42 E=42 H=42 L=42
[159/169] FAIL    mooneye/misc/boot_div-cgb0.gb  (2 fr, 0.7s) B=42 C=42 D=42 E=42 H=42 L=42
[160/169] FAIL    mooneye/misc/boot_hwio-C.gb  (2 fr, 0.6s) B=42 C=42 D=42 E=42 H=42 L=42
[161/169] FAIL    mooneye/misc/boot_div-cgbABCDE.gb  (2 fr, 0.7s) B=42 C=42 D=42 E=42 H=42 L=42
[162/169] FAIL    mooneye/misc/boot_regs-A.gb  (2 fr, 0.7s) B=42 C=42 D=42 E=42 H=42 L=42
[163/169] FAIL    mooneye/misc/boot_regs-cgb.gb  (2 fr, 0.7s) B=42 C=42 D=42 E=42 H=42 L=42
[164/169] HANG    mooneye/acceptance/reti_timing.gb  (0 fr, 20.1s) LCD off: call to 0x71000820b0 did not return within 20s (pc=0x71000873f8) PC=015e
[165/169] PASS    mooneye/emulator-only/mbc1/bits_bank1.gb  (2 fr, 8.0s) B=03 C=05 D=08 E=0d H=15 L=22
[166/169] PASS    mooneye/emulator-only/mbc1/bits_bank2.gb  (2 fr, 7.9s) B=03 C=05 D=08 E=0d H=15 L=22
[167/169] PASS    mooneye/emulator-only/mbc1/bits_mode.gb  (2 fr, 7.9s) B=03 C=05 D=08 E=0d H=15 L=22
[168/169] HANG    mooneye/acceptance/rst_timing.gb  (0 fr, 20.1s) LCD off: call to 0x71000820b0 did not return within 20s (pc=0x710008e84c) PC=0154
[169/169] HANG    mooneye/misc/ppu/vblank_stat_intr-C.gb  (0 fr, 20.1s) LCD off: call to 0x71000820b0 did not return within 20s (pc=0x710008381c) PC=0168
done in 254s: {'TIMEOUT': 12, 'FAIL': 85, 'PASS': 36, 'HANG': 29, 'CRASH': 7}
